2021-12-22 11:12:980 INFO  ManageDriver :32 - launching chrome browser
2021-12-22 16:12:106 INFO  ManageDriver :32 - launching chrome browser
2021-12-22 16:12:255 INFO  ManageDriver :32 - launching chrome browser
2021-12-23 12:12:433 INFO  ManageDriver :32 - launching chrome browser
2021-12-24 11:12:519 INFO  ManageDriver :32 - launching chrome browser
2021-12-24 11:12:576 INFO  HomePage :31 - sending text to search bar [[ChromeDriver: chrome on WINDOWS (643d97f21841454d7ba642ba0f60db67)] -> css selector: #twotabsearchtextbox]
2021-12-24 11:12:314 INFO  HomePage :33 - clicking on search icon
2021-12-24 11:12:350 INFO  ManageDriver :32 - launching chrome browser
2021-12-24 11:12:467 INFO  HomePage :31 - sending text to search bar [[ChromeDriver: chrome on WINDOWS (092b06c6ea009ee1fbf4e77e712f19f1)] -> css selector: #twotabsearchtextbox]
2021-12-24 11:12:13 INFO  HomePage :33 - clicking on search icon
2021-12-24 11:12:354 INFO  ManageDriver :32 - launching chrome browser
2021-12-24 11:12:326 INFO  HomePage :31 - sending text to search bar [[ChromeDriver: chrome on WINDOWS (d67709e163b756ec69025890fff5bff5)] -> css selector: #twotabsearchtextbox]
2021-12-24 11:12:985 INFO  HomePage :33 - clicking on search icon
2021-12-24 13:12:417 INFO  ManageDriver :32 - launching chrome browser
2021-12-24 13:12:592 INFO  HomePage :31 - sending text to search bar [[ChromeDriver: chrome on WINDOWS (505c50de59f66a2015f80b36268f6bf2)] -> css selector: #twotabsearchtextbox]
2021-12-24 13:12:283 INFO  HomePage :33 - clicking on search icon
2021-12-24 14:12:664 INFO  ManageDriver :32 - launching chrome browser
2021-12-24 14:12:233 INFO  HomePage :31 - sending text to search bar [[ChromeDriver: chrome on WINDOWS (0845f3227daaddfb34460029ab20d82e)] -> css selector: #twotabsearchtextbox]
2021-12-24 14:12:497 INFO  HomePage :33 - clicking on search icon
2021-12-24 14:12:545 INFO  ManageDriver :32 - launching chrome browser
2021-12-24 14:12:107 INFO  HomePage :31 - sending text to search bar [[ChromeDriver: chrome on WINDOWS (3750d23a7ea5a1827a0aa03968527b86)] -> css selector: #twotabsearchtextbox]
2021-12-24 14:12:775 INFO  HomePage :33 - clicking on search icon
2021-12-24 14:12:375 INFO  ManageDriver :32 - launching chrome browser
2021-12-24 14:12:828 INFO  HomePage :31 - sending text to search bar [[ChromeDriver: chrome on WINDOWS (21ca6a59f9259e9edde9cca77e275f07)] -> css selector: #twotabsearchtextbox]
2021-12-24 14:12:777 INFO  HomePage :33 - clicking on search icon
2021-12-25 11:12:971 INFO  ManageDriver :32 - launching chrome browser
2021-12-25 11:12:722 INFO  HomePage :31 - sending text to search bar [[ChromeDriver: chrome on WINDOWS (a1fe58b258f5592ec3e265d8f474ca56)] -> css selector: #twotabsearchtextbox]
2021-12-25 11:12:282 INFO  HomePage :33 - clicking on search icon
2021-12-25 11:12:181 INFO  ManageDriver :32 - launching chrome browser
2021-12-25 11:12:831 INFO  HomePage :31 - sending text to search bar [[ChromeDriver: chrome on WINDOWS (0442e45111e0f4cbddcea36d806723ca)] -> css selector: #twotabsearchtextbox]
2021-12-25 11:12:563 INFO  HomePage :33 - clicking on search icon
2021-12-25 11:12:353 INFO  ManageDriver :32 - launching chrome browser
